L (Trees), k (Lines), Mean Distance      , Std Dev              , Mean Time (s)        , Bias                  , Rel Bias (%)        , CV (σ/μ)
       10,         5, 0.8819730162620545 , 0.09645246774144708  , 0.0008995771408081054, 0.0313894629478455    , 3.6903444494711635  , 0.1093598851246361
       10,        10, 0.7746360898017883 , 0.052639508745814266 , 0.0008639335632324219, 0.004903078079223633  , 0.6369842535726987  , 0.06795385528614283
       10,        50, 0.5742685288190842 , 0.07341682248822876  , 0.0008836030960083008, 0.02517426908016207   , 4.584689902264081   , 0.1278440638897657
       10,       100, 0.4771824151277542 , 0.053808442289048034 , 0.0012865304946899415, 0.021779385209083568  , 4.78244187636896    , 0.11276283572738552
       10,       200, 0.3819775521755219 , 0.06820390451570753  , 0.0008865118026733399, 0.010455989837646507  , 2.8143695810951197  , 0.17855474523897485
       50,         5, 0.8493221759796142 , 0.042205696154551664 , 0.0008430957794189453, 0.0012613773345947488 , 0.14829552366489163 , 0.04969338767808731
       50,        10, 0.7602488577365876 , 0.02390027721025743  , 0.0008625984191894531, 0.009484153985977128  , 1.2321355381072714  , 0.03143743915829525
       50,        50, 0.5512803792953491 , 0.024549584156989133 , 0.0010782718658447266, 0.002186119556427002  , 0.39813192683282406 , 0.044531938880844266
       50,       100, 0.45098107159137724, 0.023401452134186585 , 0.0011254072189331055, 0.004421958327293418  , 0.9709988816023304  , 0.05189009829527848
       50,       200, 0.3781333863735199 , 0.02027923223229513  , 0.0015856266021728516, 0.006611824035644531  , 1.779660914978468   , 0.05362983794364912
      100,         5, 0.8584540784358978 , 0.027954361694849862 , 0.0009618282318115234, 0.007870525121688843  , 0.925308876596799   , 0.03256360753248755
      100,        10, 0.7685534298419953 , 0.02371756827195064  , 0.0008817195892333984, 0.0011795818805694358 , 0.15324558809419925 , 0.03086001226593533
      100,        50, 0.5511297821998596 , 0.026946321483957047 , 0.0008917570114135743, 0.002035522460937522  , 0.3707054708430848  , 0.048892878509304245
      100,       100, 0.4632302701473236 , 0.01660760746355646  , 0.0012032270431518554, 0.007827240228652943  , 1.7187501431535912  , 0.03585173192217049
      100,       200, 0.3736093759536743 , 0.008851573238848208 , 0.0019468069076538086, 0.0020878136157989613 , 0.5619629726632736  , 0.02369205327423517
      500,         5, 0.8577612578868866 , 0.013219377847299789 , 0.0008532047271728515, 0.0071777045726776345 , 0.8438564964853209  , 0.015411488599830226
      500,        10, 0.7623209953308105 , 0.008303029330414642 , 0.0008893251419067383, 0.00741201639175415   , 0.9629334170255995  , 0.010891775749678163
      500,        50, 0.5489441812038421 , 0.009915740976822414 , 0.002490234375       , 0.00015007853507997826, 0.02733201675634637 , 0.018063295534123447
      500,       100, 0.4570989727973938 , 0.008328241819627897 , 0.00395209789276123  , 0.0016959428787231556 , 0.3724048298550034  , 0.01821977802457092
      500,       200, 0.3680685818195343 , 0.006762609885638168 , 0.007746195793151856 , 0.0034529805183410867 , 0.9294159123934829  , 0.018373233195312245
     1000,         5, 0.852941370010376  , 0.008231172851453503 , 0.000908660888671875 , 0.00235781669616697   , 0.2771998925890333  , 0.009650338394716828
     1000,        10, 0.763115006685257  , 0.006157253473547171 , 0.001129317283630371 , 0.006618005037307695  , 0.859779291847889   , 0.00806857868028626
     1000,        50, 0.5491163432598114 , 0.0042504215196982565, 0.003904294967651367 , 2.2083520889282227e-05, 0.004021808732763347, 0.007740475350753115
     1000,       100, 0.45689513087272643, 0.003200397836204431 , 0.007531428337097168 , 0.001492100954055775  , 0.3276440550521251  , 0.007004666103775879
     1000,       200, 0.3718284785747528 , 0.005670325023019052 , 0.016353726387023926 , 0.0003069162368774525 , 0.08261061213947297 , 0.015249840584437869
     5000,         5, 0.8505484819412231 , 0.006148116901812958 , 0.0022670745849609373, 3.507137298586205e-05 , 0.004123213157509353, 0.007228414408289805
     5000,        10, 0.7675938248634339 , 0.003098546762242541 , 0.0044395685195922855, 0.002139186859130837  , 0.2779128381597677  , 0.004036701002374293
     5000,        50, 0.5497983872890473 , 0.0027803778694440464, 0.020585131645202637 , 0.0007041275501251665 , 0.12823436734886975 , 0.005057086258753082
     5000,       100, 0.4573282480239868 , 0.002762736337155876 , 0.04020082950592041  , 0.001925218105316151  , 0.42275039444949924 , 0.00604103584043418
     5000,       200, 0.372121062874794  , 0.0014782578285640802, 0.08034720420837402  , 0.0005995005369186512 , 0.1613635916973894  , 0.003972518559266459
    10000,         5, 0.8526539325714111 , 0.0018073683050778208, 0.004185009002685547 , 0.002070379257202104  , 0.24340692329813926 , 0.00211969737784145
    10000,        10, 0.769692063331604  , 0.0018424604886222138, 0.007820200920104981 , 4.094839096069336e-05 , 0.005319817435016339, 0.002393763137750366
    10000,        50, 0.548865020275116  , 0.002761292325291055 , 0.04004290103912354  , 0.00022923946380615234, 0.041748654213786325, 0.00503091329067932
    10000,       100, 0.456791415810585  , 0.0015558416248178707, 0.08029472827911377  , 0.0013883858919143677 , 0.3048697089613822  , 0.0034060220288006076
    10000,       200, 0.37208362221717833, 0.001387678074301556 , 0.16011462211608887  , 0.0005620598793029674 , 0.15128593768988555 , 0.003729479051060178
    20000,         5, 0.8513273060321808 , 0.0018434109269414474, 0.008075475692749023 , 0.0007437527179717796 , 0.08744028909021644 , 0.002165337484043728
    20000,        10, 0.7692872047424316 , 0.002401375098218229 , 0.01659390926361084  , 0.00044580698013307885, 0.05791709246501192 , 0.0031215586108990904
    20000,        50, 0.5494510054588317 , 0.001325636053856218 , 0.08033874034881591  , 0.00035674571990962356, 0.06496985054610578 , 0.0024126556156708005
    20000,       100, 0.4570352792739868 , 0.0009174963813097747, 0.16172001361846924  , 0.00163224935531614   , 0.3584186419681133  , 0.0020074957512410054
    20000,       200, 0.37213916778564454, 0.0005301810061700401, 0.32395386695861816  , 0.0006176054477691761 , 0.16623677072274556 , 0.001424684774045147
