Dimension,L (Trees),k (Lines),Mean Distance,Std Dev,Mean Time (s),Bias,Rel Bias (%),CV (σ/μ)
10,10,5,0.8019719243049621,0.06191015590478097,0.0007085084915161132,0.0020768523216248003,0.2582992950176857,0.07719741056825162
10,10,10,0.7324108302593231,0.09177059561704135,0.0006390094757080078,0.015052241086959794,2.0982868699357162,0.12529934269888982
10,10,50,0.5047465473413467,0.02929795506432741,0.0006498336791992187,0.01530624330043795,2.943209531007205,0.05804488454383419
10,10,100,0.41730862855911255,0.04623576210341298,0.0006841421127319336,0.0067376792430877686,1.588901758868895,0.11079512605108667
10,50,5,0.7812044560909271,0.03007233564758194,0.0006230592727661133,0.022844320535659768,2.8411610339740663,0.03849483373157016
10,50,10,0.7069007575511932,0.03853541908992125,0.0006140708923339844,0.010457831621170088,1.4578248283380257,0.05451319535066498
10,50,50,0.5200432300567627,0.015383052124463751,0.0006455421447753906,9.56058502199486e-06,0.0018383874087467876,0.029580333394177042
10,50,100,0.4233612984418869,0.026434614093350073,0.0008030891418457031,0.0006850093603134044,0.1615411684312866,0.06243984556604114
10,100,5,0.8027751564979553,0.023506951211208788,0.0006328821182250977,0.0012736201286316362,0.1584008539848977,0.029282110963368684
10,100,10,0.7154559373855591,0.020486035397858888,0.0006266117095947265,0.0019026517868041548,0.26523022314395056,0.02863353887692872
10,100,50,0.5114027827978134,0.022662248954843194,0.0007791757583618164,0.008650007843971297,1.6632941885181558,0.04431389448227322
10,100,100,0.43257365226745603,0.021959403359718285,0.0011207342147827148,0.008527344465255715,2.0109465188960827,0.050764542048763066
10,500,5,0.8005033791065216,0.018150633626486244,0.0006441593170166016,0.00354539752006533,0.44094308991304754,0.02267402499505373
10,500,10,0.7241976261138916,0.010381549606291498,0.0007340431213378907,0.00683903694152832,0.9533637771618109,0.014335243905727515
10,500,50,0.5125393986701965,0.011183875087432424,0.0021044731140136717,0.007513391971588179,1.4447364011480608,0.021820517830335433
10,500,100,0.4270510464906693,0.011147878800257763,0.003847622871398926,0.0030047386884689553,0.7085873955706128,0.02610432380828116
10,1000,5,0.8019431412220002,0.007823996661398961,0.0006800413131713868,0.0021056354045867476,0.26187906328531585,0.00975629849452514
10,1000,10,0.7258681118488312,0.0074399693451365325,0.0010257959365844727,0.008509522676467873,1.1862299838474855,0.010249753672449487
10,1000,50,0.5109136551618576,0.007288179198413873,0.0037946462631225585,0.009139135479927063,1.757347647081881,0.01426499198989891
10,1000,100,0.42615841031074525,0.005885521040280135,0.007425928115844726,0.002112102508544933,0.498082985203149,0.013810641531135202
10,5000,5,0.8037598669528961,0.004190312537379985,0.0021150588989257814,0.0002889096736907737,0.03593185912214228,0.005213388612280085
10,5000,10,0.7245476067066192,0.002610956066744414,0.0038318395614624023,0.007189017534255937,1.0021511755438948,0.003603567305414662
10,5000,50,0.5125418424606323,0.004176110418047854,0.01927914619445801,0.007510948181152388,1.4442664891545542,0.008147842911710406
10,5000,100,0.4260473757982254,0.001962842176087097,0.03832497596740723,0.0020010679960250632,0.47189845995746227,0.004607098382919492
10,10000,5,0.8016208589076996,0.00435341722351139,0.003954076766967773,0.0024279177188872847,0.3019614965492135,0.005430768392732969
10,10000,10,0.7237664878368377,0.0024640481791757514,0.007413125038146973,0.006407898664474443,0.8932629735244983,0.003404479511810768
10,10000,50,0.514523309469223,0.0019088981352750548,0.038250279426574704,0.00552948117256169,1.063253821931787,0.0037100323739351184
10,10000,100,0.4256722629070282,0.001059642008870154,0.07643430233001709,0.0016259551048278809,0.38343809978091364,0.0024893376928850825
10,20000,5,0.8021978378295899,0.0021795111075206324,0.00766599178314209,0.001850938796997048,0.23020230249745827,0.0027169246845858788
10,20000,10,0.7231220483779908,0.0011230384576345338,0.015596604347229004,0.005763459205627486,0.803427921909592,0.001553041371305966
10,20000,50,0.5135457754135132,0.0017193048057141099,0.07643864154815674,0.006507015228271462,1.251222057714816,0.0033479095496982817
10,20000,100,0.42525038719177244,0.001208071876825497,0.15379765033721923,0.0012040793895721214,0.28394997607991757,0.002840848387706936
50,10,5,0.6328428089618683,0.06039244696958824,0.0008720636367797851,0.04129490256309509,6.980821352997478,0.09543040722649211
50,10,10,0.47626579999923707,0.051100260752231806,0.0008764266967773438,0.004247826337814342,0.8999289380580446,0.10729357588202568
50,10,50,0.2342066302895546,0.012172460131933183,0.0008574724197387695,0.015276716649532313,6.123341231774571,0.051973166245909065
50,10,100,0.18051108717918396,0.013542303735186188,0.0009195804595947266,0.004072308540344238,2.2062160707738045,0.07502200527850929
50,50,5,0.6113465189933777,0.028890253361591893,0.0008431911468505859,0.01979861259460447,3.3469161804890004,0.047256756134248706
50,50,10,0.4663460999727249,0.02663396322347041,0.0008488655090332031,0.005671873688697815,1.201622396855217,0.05711201021093163
50,50,50,0.24524953961372375,0.004214113615259275,0.0009326696395874024,0.004233807325363159,1.6970300331896992,0.01718296238964055
50,50,100,0.18907426297664642,0.015574566995699533,0.0008850574493408203,0.004490867257118225,2.4329746668774224,0.0823727500004759
50,100,5,0.6021017730236053,0.02459604287694169,0.0008419275283813477,0.010553866624832153,1.7841102150258648,0.04085030800262634
50,100,10,0.4780266523361206,0.026113829864141763,0.0008469820022583008,0.006008678674697898,1.272976668258804,0.05462839725886253
50,100,50,0.24612577110528946,0.008144836552012143,0.0009323596954345703,0.0033575758337974493,1.3458116042579886,0.03309217281650643
50,100,100,0.18600315749645233,0.007560892886095494,0.0012218236923217773,0.0014197617769241277,0.7691709058605875,0.04064927169980813
50,500,5,0.5980145752429962,0.007193489586625409,0.000846695899963379,0.006466668844222978,1.0931775388388711,0.012028953614888767
50,500,10,0.47101539373397827,0.008147794591964727,0.0008978843688964844,0.001002579927444458,0.2124029133186369,0.017298361582989932
50,500,50,0.25230530798435213,0.004348737114975531,0.0022939205169677734,0.00282196104526522,1.1311220086983285,0.017236011202924187
50,500,100,0.1844384789466858,0.0024326691022038306,0.0041228532791137695,0.00014491677284239612,0.07851018900020404,0.013189596423135887
50,1000,5,0.5946860373020172,0.005234639558736772,0.0009044647216796875,0.0031381309032439964,0.530494803429923,0.00880235827039993
50,1000,10,0.471524515748024,0.005512798580513902,0.0012378692626953125,0.0004934579133987205,0.1045421871482963,0.011691435750203628
50,1000,50,0.2487138330936432,0.0020688263516049094,0.004169654846191406,0.0007695138454437145,0.3084429701961617,0.008318099262399997
50,1000,100,0.1838435098528862,0.0007732314295565251,0.008296751976013183,0.0007398858666420038,0.40084096608898107,0.00420592182000482
50,5000,5,0.5987506747245789,0.001904432391418359,0.0023595094680786133,0.007202768325805686,1.2176136958466672,0.003180676818935335
50,5000,10,0.47337268888950346,0.0024283990146547994,0.004207825660705567,0.0013547152280807273,0.2870050090618924,0.005129993917375419
50,5000,50,0.250411668419838,0.0008654838833975436,0.02121877670288086,0.0009283214807510598,0.3720975737020699,0.0034562442271918454
50,5000,100,0.18466136008501052,0.0007173775378792841,0.04039742946624756,7.796436548232477e-05,0.04223801668530928,0.0038848275435046774
50,10000,5,0.5982622027397155,0.0010724142126616503,0.00453956127166748,0.006714296340942338,1.1350384758890701,0.001792548831850945
50,10000,10,0.47161599695682527,0.0013376165507135904,0.0088334321975708,0.00040197670459746204,0.08516131313376615,0.0028362408386160922
50,10000,50,0.25034099370241164,0.0008668305560982591,0.0419001579284668,0.0008576467633247264,0.3437691428494932,0.0034625993261362875
50,10000,100,0.18480776399374008,0.0005059257064288791,0.08133702278137207,0.000224368274211878,0.12155387722566462,0.0027375782028617375
50,20000,5,0.5985056817531585,0.0014020642012452953,0.009055566787719727,0.006957775354385354,1.1761981200716127,0.0023426080052211568
50,20000,10,0.473272442817688,0.00121626196160887,0.01704239845275879,0.0012544691562652588,0.2657672432544033,0.002569898121191462
50,20000,50,0.2503582417964935,0.000543068674100551,0.08275353908538818,0.0008748948574066051,0.35068266805808757,0.0021691663521985847
50,20000,100,0.1850165918469429,0.0005362560352915747,0.16452720165252685,0.00043319612741471447,0.23468856758543424,0.0028984213250193183
100,10,5,0.5195835113525391,0.05704205019854444,0.0008442401885986328,0.01786894798278804,3.324749505265405,0.10978418089145486
100,10,10,0.423812261223793,0.04306882382057882,0.0008376836776733398,0.015779247879981972,3.867149805029694,0.1016224110558152
100,10,50,0.20082662701606752,0.00867278490204158,0.0008482217788696289,0.0024799972772598378,1.2503349719254704,0.0431854332809548
100,10,100,0.14111697673797607,0.006432209853144122,0.000868678092956543,0.00013557076454162598,0.09616215954547366,0.0455806948379241
100,50,5,0.5409790247678756,0.028445305846116712,0.0008425235748291016,0.0035265654325484785,0.6561632329136269,0.052581162196301566
100,50,10,0.40952289700508115,0.010310559820734637,0.00085601806640625,0.0014898836612701194,0.36513801887268726,0.02517700449996257
100,50,50,0.19625404477119446,0.005219494000344791,0.0010075330734252929,0.00209258496761322,1.0550141287345474,0.02659559962919496
100,50,100,0.14161272644996642,0.0025976966248136826,0.0008991479873657227,0.0006313204765319713,0.4478040718723808,0.018343666490535947
100,100,5,0.5356770098209381,0.014080670161464652,0.0008471250534057617,0.0017754495143890159,0.33034540703092735,0.026285746640818928
100,100,10,0.40724749565124513,0.009746757322936462,0.0008314609527587891,0.0007855176925659069,0.19251326899473817,0.02393325294081931
100,100,50,0.19815390259027482,0.005281605801244354,0.0009231328964233399,0.00019272714853285633,0.09716683806861183,0.026654058952173112
100,100,100,0.1417683631181717,0.0012949613658630925,0.0012301921844482422,0.0007869571447372548,0.558199245711554,0.009134346601601595
100,500,5,0.5391247808933258,0.005674016238449694,0.0008582353591918945,0.0016723215579986794,0.31115711333182033,0.010524495329351936
100,500,10,0.40873669683933256,0.005456340929097146,0.0008973360061645507,0.0007036834955215232,0.17245749057285112,0.013349280774860157
100,500,50,0.19678614884614945,0.0013911930339321706,0.002279233932495117,0.001560480892658228,0.7867443448437434,0.007069567863843037
100,500,100,0.1412732034921646,0.0009871633992863376,0.004307413101196289,0.00029179751873015247,0.20697588927800648,0.006987619554766367
100,1000,5,0.540307366847992,0.004086640992633316,0.0008889675140380859,0.002854907512664817,0.53119256653798,0.0075635485343716145
100,1000,10,0.40599824786186217,0.0028610890419101024,0.0012326240539550781,0.0020347654819488636,0.49867667943680777,0.007047047756924227
100,1000,50,0.1964033290743828,0.0009334858853761605,0.00428156852722168,0.0019433006644248851,0.9797497779437525,0.004752902559114089
100,1000,100,0.14128818064928056,0.0005762922115265942,0.008167886734008789,0.00030677467584611096,0.21759938747093885,0.0040788423269255865
100,5000,5,0.5396485805511475,0.0014580227010881897,0.0023337602615356445,0.002196121215820357,0.40861683255414294,0.0027018003078949993
100,5000,10,0.40770208537578584,0.0022817193844166766,0.004345536231994629,0.0003309279680251964,0.08110323361172606,0.005596535966485376
100,5000,50,0.19693612307310104,0.00046106422644149106,0.020614767074584962,0.0014105066657066345,0.7111321566512409,0.002341186671326661
100,5000,100,0.14130717217922212,0.0003002586391959157,0.04120471477508545,0.0003257662057876698,0.23107033409005365,0.0021248648215470116
100,10000,5,0.539699810743332,0.0015553976073208633,0.004967832565307617,0.002247351408004805,0.41814887418770535,0.002881968042898893
100,10000,10,0.4069091141223907,0.00072297607858607,0.008815407752990723,0.0011238992214203103,0.27544320794290883,0.0017767507620107328
100,10000,50,0.19683534651994705,0.00046816151329595964,0.04210717678070068,0.0015112832188606262,0.7619404578997668,0.0023784422949082304
100,10000,100,0.14119294732809068,0.00032276359261058175,0.0826869249343872,0.00021154135465623058,0.1500491168999208,0.002285975317595535
100,20000,5,0.5399037063121795,0.0008815609704946996,0.008916282653808593,0.002451246976852395,0.4560862889870997,0.001632811481358806
100,20000,10,0.4067587196826935,0.0009777816883795446,0.016960453987121583,0.0012742936611175315,0.3123016078220622,0.0024038370686737774
100,20000,50,0.19677618741989136,0.0002840615520280413,0.08286755084991455,0.0015704423189163152,0.7917665760110715,0.0014435768664523205
100,20000,100,0.14113560318946838,0.0001396826162974053,0.166243577003479,0.00015419721603393555,0.10937415112954073,0.0009897050293531356
